brewery_id,bad_brewery_name,beer_count,beer_ids,beer_names
447,"Unknown Brewery",36,"185 | 266 | 204 | 225 | 203 | 190 | 194 | 191 | 205 | 206 | 207 | 208 | 209 | 195 | 210 | 189 | 192 | 201 | 186 | 199 | 200 | 188 | 187 | 202 | 212 | 213 | 214 | 211 | 193 | 223 | 215 | 216 | 197 | 198 | 196 | 224","10th Anniversary #1: Nitro Bitter Citrus Zest (Nitro) | 9% ABV 28 IBU Browar Łańcut Łańcut, Podkarpackie Voivodeship  Rated 3.5 out of 5 on Untappd | CHEEL | FREEROKEZ | KWAŚNA WISIENKA | MONUMENT #10: CHERRY & COCOA & RED PEPPER | MONUMENT #13: ICE IMPERIAL PLUM BALTIC PORTER B.A. | MONUMENT #14: ICE IMPERIAL COCONUT & VANILLA BALTIC PORTER BOURBON B.A. | MONUMENT #17: IMPERIAL ROSE JAM SWEET STOUT TAWNY PORT B.A. | MONUMENT #18: IMPERIAL COFFEE & VANILLA SWEET STOUT BOURBON B.A. | MONUMENT #19: IMPERIAL PEANUT & WAFFLE SWEET STOUT BOURBON B.A. | MONUMENT #20: IMPERIAL PEANUT, WAFFLE, S'MORES & COCONUT SWEET STOUT BOURBON B.A. | MONUMENT #21: IMPERIAL PLUM BALTIC PORTER RED WINE BA | MONUMENT #22: IMPERIAL RASPBERRY & COCOA STOUT RED WINE BA | MONUMENT #23: IMPERIAL CHERRY & ALMOND SWEET STOUT RED WINE BA | MONUMENT #25: CINNAMON DANISH IMPERIAL STOUT MAKER'S MARK BARREL AGED | MONUMENT #7: PEDRO XIMENEZ B.A. IMPERIAL SWEET | MROCZNY BLASK | OMNI (Nitro) | Only Taps #10: HO | Only Taps #14: BLIZ | Only Taps #16: TURBO GOAT | Only Taps #17: ROSE CAKE | Orła Cień | SYMPHONY of SOURS BLEND #1 | SYMPHONY of SOURS BLEND #2 | SYMPHONY of SOURS BLEND #3 | Samotny Jeździec | Sherry Barrel Aged Imperial Sweet | Tempo Run | WIELKI G. | Wild Wild East: Pineapple Tart | Wild Wild Yeast: Blueberry & Blackcurrant | Wild Wild Yeast: Hoppy | Wild Wild Yeast: Redcurrant | ZITO"
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",12,"40 | 41 | 37 | 48 | 45 | 47 | 46 | 43 | 38 | 39 | 42 | 44","Augustowski Barrel Aged | Jabłko Na Miodzie | MMC Champion 2023 Dereniak | Metsavana | Miód Kwarciany | Pieprzna Wiśnia Na Miodzie | Podlaska Szeptucha | Półtorak | Trójniak Augustowski Późny | Trójniak Augustowski Wczesny | Trójniak Augustowski Wczesny Kawowy | Trójniak Kawowy 2019 4yo"
123,"Quantum Satis Mead",12,"827 | 824 | 823 | 828 | 822 | 816 | 826 | 820 | 817 | 815 | 818 | 819","Berry Me In Smoke | Coffee Melomel 2024 | Divine Intervention 2024 | Fire Cyser | From Islay With Love | Hail the King | Half Buckwheat Half Amazing 2023 | Quantum Satis 2024 | Sprezzatura 2025 | Thin Red Line 5 | Time Is Mine | Useless Warning"
74,"Czeski Lager Lager - Světlé (Czech Pale)",7,"442 | 444 | 448 | 443 | 445 | 446 | 447","Grodziskie | Helles | Marcowe | Milkshake IPA | Onlyfans Phantasm Juicy IPA | Pszeniczne | The Unit"
119,"Wild Ale with natural juices: mandarin & orange & lime.",7,"811 | 808 | 810 | 812 | 809 | 813 | 814","After Hours: Lemonade Wild Ale | After Hours: Red Wild Ale | After Hours: Rose Wild Ale | After Hours: Tropical Wild Ale | After Hours: Wild Ale | Essence | Vortex"
46,"Creamy Chocolate Stout",6,"234 | 238 | 239 | 236 | 235 | 237","ALIEN VS POPEYE | BLOWN | Bezczelne | Choco Comet | I'M GREEN | SIRIUS"
56,"Alcohol Free Gluten Free Hazy IPA",3,"318 | 317 | 316","Freeky APA | Freeky Amber Ale | Freeky Witbier"
6,"Metheglin-stiilis mõdu männivõrsetega ||| Metheglin-style mead with pine tips Tuul sosistab vana männi mõistulugusid. Mänd ise palju ei räägi, aga ei peagi - Metsavana juba teab neid jutte sõprusest, loodusest ja traditsioonidest. ||| The wind whispers the old pine’s fables. The pine itself does not speak much, it doesn't need to - the Forest Elder already knows these stories of friendship, nature, and tradition.",3,"49 | 51 | 50","Berryland Revenge Rhubarb Mead | Zbicień Chmielowy | Zbicień Leśny"
23,"2. SMOOTHIE #2: Banana, Strawberry, Cherry, Mango Sour Sour - Smoothie",2,"183 | 184","4% ABV Browar Dziki Wschód Lublin, Lubelskie | SMOOTHIE #3: Orange, Passion Fruit Coffee"
37,"Wild Wild East: Cranberry Wild Ale Wild Ale - Other",2,"219 | 220","3% ABV Browar Dziki Wschód Lublin, Lubelskie  Rated 4.0 out of 5 on Untappd | Wild Wild East: Xmas"
36,"Wild Wild East: Pineapple Tart Wild Ale Wild Ale - Other",2,"217 | 218","7% ABV Browar Dziki Wschód Lublin, Lubelskie  Rated 4.0 out of 5 on Untappd | Wild Wild East: Cranberry"
38,"Wild Wild East: Xmas Wild Ale Wild Ale - Other",2,"221 | 222","5% ABV Browar Dziki Wschód Lublin, Lubelskie  Rated 3.75 out of 5 on Untappd | Wild Wild Yeast: Raspberry Farmhouse"
132,"New England White DIPA Galaxy/Mosaic/Amarillo - 7.8%, 18blg - collab Blech Brut (Germany)",1,882,"Night Harvest - PREMIERA Cardamon&Patrocinio Coffee"
41,"Tropical IPA",1,226,"Classic: Bezalkoholowy"
