brewery_id,brewery_name,beer_id,beer_name,style,abv
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",40,"Augustowski Barrel Aged","Mead - Traditional",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",41,"Jabłko Na Miodzie","Mead - Cyser",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",37,"MMC Champion 2023 Dereniak","Mead - Melomel",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",48,Metsavana,"Mead - Metheglin",14.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",45,"Miód Kwarciany","Mead - Metheglin",10.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",47,"Pieprzna Wiśnia Na Miodzie","Mead - Melomel",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",46,"Podlaska Szeptucha","Mead - Metheglin",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",43,"Półtorak","Mead - Traditional",15.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",38,"Trójniak Augustowski Późny","Mead - Traditional",12.0
5,"Baltic Way Mead was produced from 1569 individual samples of honey from beekeepers of Lithuania, Latvia and Estonia as a way to commemorate an inspiring act of solidarity on the way to independence: The Baltic Way of Freedom - live chain of people from Tallinn through Riga to Vilnius from 1989. Colaboration project with Noosker Meadery, Estonia",39,"Trójniak Augustowski Wczesny","Mead - Traditional",12.0
